Wage,Age,Club,League,Nation,Position,Apps,Caps,Wage by Apps
2340000,25,Bournemouth,Premier League,ARG,Defender,127,1,18425
2340000,25,Wolves,Premier League,AUT,Forward,141,15,16595
2340000,34,Fulham,Premier League,BRA,Midfilder,457,70,5120
2340000,23,Nottm Forest,Premier League,ENG,Midfilder,170,0,13764
2340000,24,Crystal Palace,Premier League,ENG,Midfilder,178,0,13146
2340000,24,Brentford,Premier League,NOR,Defender,217,26,10783
2340000,25,Crystal Palace,Premier League,NED,Defender,152,3,15394
2340000,24,Leeds,Premier League,AUT,Defender,163,9,14355
2340000,29,Crystal Palace,Premier League,ENG,Goalkeeper,311,3,7524
2340000,25,Nottm Forest,Premier League,NGA,Forward,163,4,14355
2340000,26,Leicester,Premier League,TUR,Defender,176,48,13295
2340000,24,Bournemouth,Premier League,ENG,Forward,181,1,12928
2340000,26,Bournemouth,Premier League,DEN,Midfilder,197,3,11878
2340000,31,Everton,Premier League,ENG,Midfilder,353,13,6628
2297000,30,Villarreal,La Liga,ESP,Forward,372,17,6174
2288000,30,Man UFC,Premier League,NED,Forward,329,13,6954
2264000,29,Benfica,Primiera Liga,POR,Midfilder,283,50,8000
2242000,23,OM,Ligue 1 Uber Eats,FRA,Midfilder,151,6,14847
2242000,22,Torino,Serie A,NED,Defender,153,0,14653
2236000,26,Wolves,Premier League,ESP,Midfilder,256,9,8734
2235000,29,PSG,Ligue 1 Uber Eats,ESP,Goalkeeper,204,1,10955
2235000,35,Vigo,La Liga,ESP,Forward,489,18,4570
2235000,31,Vigo,La Liga,ESP,Defender,375,0,5960
2235000,33,OL,Ligue 1 Uber Eats,CRO,Defender,371,70,6024
2233000,28,Lazio,Serie A,ITA,Midfilder,212,0,10533
2233000,25,Fiorentina,Serie A,ITA,Midfilder,154,4,14500
2233000,27,Torino,Serie A,POL,Midfilder,265,41,8426
2211000,18,Atalanta,Serie A,ITA,Defender,19,1,116368
2207000,25,Capitoline,Serie A,TUR,Defender,220,32,10031
2207000,32,Inter,Serie A,ITA,Defender,316,36,6984
2207000,27,Parthenope,Serie A,SVK,Midfilder,309,40,7142
2207000,23,Atalanta,Serie A,BRA,Midfilder,91,0,24252
2199000,28,Real Hispalis,La Liga,ARG,Midfilder,258,24,8523
2195000,25,A. Bilbao,La Liga,ESP,Goalkeeper,211,25,10402
2184000,24,Everton,Premier League,ENG,Midfilder,142,0,15380
2155000,24,FC Augsburg,Bundesliga,GER,Forward,155,0,13903
2154000,28,Hoffenheim,Bundesliga,TOG,Midfilder,222,26,9702
2149000,28,Vigo,La Liga,ARG,Midfilder,182,4,11807
2149000,24,Fiorentina,Serie A,CRO,Midfilder,182,33,11807
2149000,30,OL,Ligue 1 Uber Eats,ARG,Defender,314,40,6843
2149000,30,Schalke 04,Bundesliga,GER,Goalkeeper,302,0,7115
2149000,30,Borussia M'gladbach,Bundesliga,AUT,Defender,342,37,6283
2149000,19,Borussia Dortmund,Bundesliga,USA,Midfilder,63,12,34111
2149000,22,FC Bayern,Bundesliga,CRO,Defender,56,5,38375
2149000,32,FC Augsburg,Bundesliga,GER,Defender,295,0,7284
2149000,26,Borussia M'gladbach,Bundesliga,GER,Defender,203,0,10586
2149000,21,Bologna,Serie A,NED,Forward,85,0,25282
2149000,25,RB Leipzig,Bundesliga,GER,Defender,135,7,15918
2149000,29,Eintracht Frankfurt,Bundesliga,ARG,Forward,264,9,8140
2149000,32,FC Bayern,Bundesliga,NED,Defender,333,91,6453
2149000,30,FC Bayern,Bundesliga,SEN,Defender,247,13,8700
2143000,26,Real San Sebastian,La Liga,ESP,Midfilder,225,11,9524
2129000,37,Villarreal,La Liga,ESP,Defender,550,58,3870
2095000,29,OM,Ligue 1 Uber Eats,FRA,Defender,218,4,9610
2084000,31,Sevilla,La Liga,MAR,Goalkeeper,247,43,8437
2080000,35,Getafe,La Liga,ESP,Goalkeeper,375,1,5546
2080000,28,Arsenal,Premier League,USA,Goalkeeper,129,17,16124
2080000,24,Nottm Forest,Premier League,NGA,Midfilder,151,7,13774
2080000,21,Nottm Forest,Premier League,WAL,Defender,34,21,61176
2080000,27,Fulham,Premier League,ENG,Midfilder,191,0,10890
2080000,37,Man City,Premier League,ENG,Goalkeeper,472,4,4406
2080000,21,Everton,Premier League,ENG,Midfilder,84,0,24761
2080000,26,Leeds,Premier League,GER,Defender,211,8,9857
2080000,21,Leeds,Premier League,USA,Midfilder,127,22,16377
2080000,20,Southampton,Premier League,FRA,Forward,38,0,54736
2080000,20,Southampton,Premier League,IRL,Goalkeeper,84,10,24761
2080000,32,Crystal Palace,Premier League,ENG,Defender,391,0,5319
2080000,22,Man City,Premier League,ESP,Defender,123,0,16910
2080000,25,Brentford,Premier League,ENG,Defender,196,0,10612
2080000,24,Brentford,Premier League,GER,Midfilder,138,0,15072
2080000,30,Crystal Palace,Premier League,GHA,Forward,387,81,5374
2080000,25,Fulham,Premier League,WAL,Forward,169,39,12307
2080000,28,Brentford,Premier League,DEN,Midfilder,239,17,8702
2080000,20,Man UFC,Premier League,SWE,Midfilder,28,5,74285
2080000,22,Leeds,Premier League,FRA,Goalkeeper,115,0,18086
2080000,29,Wolves,Premier League,POR,Goalkeeper,247,0,8421
2080000,21,Nottm Forest,Premier League,WAL,Forward,97,13,21443
2080000,23,Southampton,Premier League,FRA,Midfilder,96,0,21666
2080000,31,Brentford,Premier League,SWE,Defender,336,27,6190
2080000,21,Arsenal,Premier League,FRA,Defender,90,5,23111
2080000,35,Everton,Premier League,BIH,Goalkeeper,346,63,6011
2080000,22,Wolves,Premier League,POR,Forward,88,3,23636
2080000,20,Everton,Premier League,SCO,Defender,19,10,109473
2080000,24,Southampton,Premier League,FRA,Defender,113,0,18407
2080000,20,Bournemouth,Premier League,BFA,Forward,54,8,38518
2080000,26,Arsenal,Premier League,ENG,Defender,112,0,18571
2080000,26,Brentford,Premier League,ESP,Goalkeeper,232,1,8965
2080000,23,Leeds,Premier League,NED,Defender,68,0,30588
2080000,28,Newcastle,Premier League,ESP,Defender,202,0,10297
2080000,23,Southampton,Premier League,GHA,Defender,123,0,16910
2080000,26,Everton,Premier League,JAM,Midfilder,256,0,8125
2080000,27,Brentford,Premier League,ALB,Goalkeeper,175,19,11885
2080000,29,Man UFC,Premier League,ENG,Goalkeeper,272,9,7647
2080000,22,Arsenal,Premier League,ENG,Midfilder,67,0,31044
2080000,30,Newcastle,Premier League,WAL,Defender,231,5,9004
2080000,20,Southampton,Premier League,GER,Defender,66,0,31515
2080000,32,Nottm Forest,Premier League,SEN,Defender,451,77,4611
2080000,35,Bournemouth,Premier League,IRL,Goalkeeper,403,50,5161
2080000,23,Crystal Palace,Premier League,ENG,Defender,66,2,31515
2078000,29,Fiorentina,Serie A,GHA,Midfilder,269,9,7724
2073000,35,Salernitana,Serie A,ITA,Defender,517,54,4009
2063000,29,Rennes,Ligue 1 Uber Eats,CMR,Forward,338,50,6103
2059000,31,FC Porto,Primiera Liga,COL,Midfilder,322,43,6394
2045000,32,Leeds,Premier League,ESP,Goalkeeper,183,0,11174
2017000,28,SC Freiburg,Bundesliga,GER,Defender,299,46,6745
1995000,21,Borussia M'gladbach,Bundesliga,FRA,Midfilder,82,0,24329
1991000,28,Parthenope,Serie A,KOS,Defender,254,48,7838
1991000,24,Atalanta,Serie A,NGA,Midfilder,167,4,11922
1991000,31,Atalanta,Serie A,COL,Forward,338,44,5890
1980000,35,Valencia,La Liga,URU,Forward,479,133,4133
1977000,30,Hoffenheim,Bundesliga,GER,Defender,343,0,5763
1966000,30,Real Hispalis,La Liga,POR,Midfilder,303,73,6488
1966000,26,Torino,Serie A,AUT,Defender,209,36,9406
1950000,28,OM,Ligue 1 Uber Eats,FRA,Defender,228,0,8552
1933000,25,Real San Sebastian,La Liga,ESP,Forward,237,21,8156
1914000,28,Inter,Serie A,BRA,Defender,202,0,9475
1914000,30,Fiorentina,Serie A,ITA,Defender,323,13,5925
1914000,24,Torino,Serie A,FRA,Forward,144,0,13291
1914000,31,Real Hispalis,La Liga,ARG,Defender,261,29,7333
1914000,35,Lazio,Serie A,ROU,Defender,432,14,4430
1914000,24,Fiorentina,Serie A,CIV,Forward,193,14,9917
1914000,26,Lazio,Serie A,ALG,Defender,129,12,14837
1898000,27,Real San Sebastian,La Liga,ESP,Goalkeeper,226,0,8398
1896000,30,SV Werder,Bundesliga,CZE,Goalkeeper,267,14,7101
1896000,28,SV Werder,Bundesliga,GER,Midfilder,274,0,6919
1892000,25,Mainz 05,Bundesliga,ESP,Defender,209,0,9052
1892000,26,Troyes,Ligue 1 Uber Eats,POR,Midfilder,181,2,10453
1892000,24,Salento,Serie A,CRO,Defender,101,5,18732
1892000,31,1. FC Koln,Bundesliga,SWE,Forward,334,9,5664
1892000,25,Borussia M'gladbach,Bundesliga,JPN,Defender,125,12,15136
1890000,29,A. Bilbao,La Liga,ESP,Midfilder,408,2,4632
1889000,29,Real Hispalis,La Liga,ESP,Forward,324,0,5830
1881000,21,Real San Sebastian,La Liga,JPN,Midfilder,157,18,11980
1879000,26,Parthenope,Serie A,CMR,Midfilder,203,42,9256
1879000,24,Fiorentina,Serie A,FRA,Forward,184,4,10211
1879000,24,Fiorentina,Serie A,BRA,Forward,144,0,13048
1871000,29,Udinese,Serie A,FRA,Forward,324,10,5774
1868000,25,Eintracht Frankfurt,Bundesliga,SUI,Midfilder,203,30,9201
1857000,23,AS Monaco,Ligue 1 Uber Eats,SEN,Defender,118,24,15737
1857000,22,LOSC,Ligue 1 Uber Eats,CAN,Forward,141,32,13170
1856000,25,LOSC,Ligue 1 Uber Eats,ALG,Forward,128,19,14500
1854000,25,Benfica,Primiera Liga,BRA,Midfilder,144,7,12875
1835000,29,Cadiz,La Liga,ARG,Midfilder,231,0,7943
1834000,28,OGC Nice,Ligue 1 Uber Eats,FRA,Forward,271,0,6767
1820000,25,Bournemouth,Premier League,ENG,Midfilder,221,1,8235
1820000,29,Leicester,Premier League,WAL,Goalkeeper,79,26,23037
1820000,28,Newcastle,Premier League,SWE,Defender,230,42,7913
1820000,23,Bournemouth,Premier League,ENG,Defender,135,0,13481
1820000,27,Newcastle,Premier League,ENG,Defender,265,0,6867
1820000,24,Rennes,Ligue 1 Uber Eats,WAL,Defender,85,28,21411
1820000,31,Leeds,Premier League,ENG,Defender,458,0,3973
1820000,26,Fulham,Premier League,NED,Defender,188,13,9680
1820000,27,Nottm Forest,Premier League,ENG,Defender,240,0,7583
1820000,25,Bournemouth,Premier League,WAL,Midfilder,113,21,16106
1820000,21,Brentford,Premier League,ENG,Midfilder,121,0,15041
1820000,24,Brentford,Premier League,NGA,Midfilder,119,7,15294
1820000,32,Aston Villa,Premier League,SWE,Goalkeeper,243,60,7489
1820000,29,Fulham,Premier League,JAM,Defender,326,16,5582
1820000,27,Bournemouth,Premier League,SCO,Midfilder,249,31,7309
1820000,21,Wolves,Premier League,FRA,Defender,68,0,26764
1820000,29,Bournemouth,Premier League,ENG,Defender,221,0,8235
1820000,31,Leeds,Premier League,SCO,Defender,321,14,5669
1820000,21,Brighton,Premier League,SCO,Midfilder,36,15,50555
1820000,21,Everton,Premier League,BEL,Defender,63,1,28888
1820000,23,Tottenham,Premier League,ENG,Defender,23,0,79130
1820000,24,Bournemouth,Premier League,WAL,Defender,121,32,15041
1820000,23,AS Monaco,Ligue 1 Uber Eats,FRA,Defender,132,0,13787
1820000,29,Brest,Ligue 1 Uber Eats,FRA,Midfilder,257,0,7081
1820000,23,Man UFC,Premier League,POR,Defender,99,5,18383
1820000,20,Brentford,Premier League,SCO,Defender,76,4,23947
1820000,21,Spezia,Serie A,WAL,Defender,71,36,25633
1820000,18,Aston Villa,Premier League,COL,Forward,74,3,24594
1820000,23,Brentford,Premier League,ENG,Midfilder,102,0,17843
1820000,34,Fulham,Premier League,USA,Defender,427,46,4262
1815000,41,Real Hispalis,La Liga,ESP,Midfilder,715,51,2538
1810000,25,Real San Sebastian,La Liga,FRA,Defender,191,0,9476
1802000,28,Rennes,Ligue 1 Uber Eats,FRA,Midfilder,275,0,6552
1798000,20,PSG,Ligue 1 Uber Eats,POR,Defender,74,15,24297
1797000,31,RB Leipzig,Bundesliga,SVN,Midfilder,344,28,5223
1795000,28,Mainz 05,Bundesliga,FRA,Forward,247,0,7267
1793000,32,Hertha Berlin,Bundesliga,MNE,Forward,330,63,5433
1793000,28,Mallorca,La Liga,SWE,Defender,257,46,6976
1767000,30,Bologna,Serie A,ITA,Forward,352,3,5019
1767000,31,Bologna,Serie A,ITA,Midfilder,352,9,5019
1763000,27,Spezia,Serie A,UZB,Forward,217,57,8124
1759000,27,Cremonese,Serie A,ITA,Midfilder,217,0,8105
1759000,28,Milan,Serie A,BIH,Midfilder,264,27,6662
1759000,25,Bologna,Serie A,ITA,Midfilder,207,2,8497
1759000,30,Montpellier,Ligue 1 Uber Eats,FRA,Midfilder,310,0,5674
1754000,33,Spezia,Serie A,SWE,Midfilder,363,66,4831
1742000,27,FC Porto,Primiera Liga,POR,Midfilder,240,7,7258
1732000,35,FC Porto,Primiera Liga,ESP,Defender,350,0,4948
1726000,24,Girona,La Liga,UKR,Midfilder,156,40,11064
1724000,30,Hoffenheim,Bundesliga,CZE,Defender,306,48,5633
1724000,26,Hoffenheim,Bundesliga,DEN,Defender,225,11,7662
1724000,31,Eintracht Frankfurt,Bundesliga,GER,Midfilder,250,0,6896
1724000,23,Sampdoria,Serie A,FRA,Midfilder,89,0,19370
1724000,25,R. Madrid,La Liga,ESP,Defender,125,0,13792
1722000,25,Real San Sebastian,La Liga,ESP,Midfilder,214,4,8046
1719000,21,VfL Wolfsburg,Bundesliga,AUT,Midfilder,139,1,12366
1719000,23,Borussia M'gladbach,Bundesliga,AUT,Forward,156,0,11019
1719000,19,Borussia M'gladbach,Bundesliga,GER,Defender,36,0,47750
1719000,24,VfL Wolfsburg,Bundesliga,GER,Defender,143,4,12020
1719000,23,VfL Wolfsburg,Bundesliga,DEN,Forward,102,15,16852
1719000,26,Mainz 05,Bundesliga,SUI,Defender,225,22,7640
1719000,24,Borussia Dortmund,Bundesliga,SUI,Goalkeeper,162,3,10611
1718000,23,Hoffenheim,Bundesliga,DEN,Midfilder,89,6,19303
1711000,34,Benfica,Primiera Liga,ARG,Defender,351,91,4874
1695000,21,RB Leipzig,Bundesliga,HUN,Midfilder,133,24,12744
1693000,25,AS Monaco,Ligue 1 Uber Eats,BRA,Defender,155,0,10922
1681000,29,SV Werder,Bundesliga,GER,Midfilder,266,0,6319
1681000,28,SV Werder,Bundesliga,GER,Defender,218,0,7711
1664000,30,Fulham,Premier League,COD,Midfilder,261,32,6375
1655000,23,Capitoline,Serie A,BRA,Defender,92,0,17989
1655000,33,Milan,Serie A,DEN,Defender,385,119,4298
1655000,40,Milan,Serie A,SWE,Forward,633,121,2614
1655000,24,Parthenope,Serie A,URU,Defender,121,6,13677
1655000,35,Bologna,Serie A,CHI,Defender,436,152,3795
1655000,22,Parthenope,Serie A,MKD,Midfilder,177,42,9350
1655000,24,Atalanta,Serie A,NED,Midfilder,175,9,9457
1655000,26,Fiorentina,Serie A,MAR,Midfilder,181,36,9143
1655000,23,Fiorentina,Serie A,BRA,Defender,116,0,14267
1650000,30,Famalicao,Primiera Liga,GNB,Midfilder,211,21,7819
1634000,26,Vigo,La Liga,GHA,Defender,194,8,8422
1632000,28,Espanyol,La Liga,ESP,Midfilder,367,0,4446
1632000,30,Vigo,La Liga,SUI,Forward,287,86,5686
1627000,30,Sevilla,La Liga,ARG,Defender,343,41,4743
1623000,31,Sporting CP,Primiera Liga,URU,Defender,317,47,5119
1612000,26,Udinese,Serie A,NGA,Forward,169,4,9538
1610000,32,LOSC,Ligue 1 Uber Eats,FRA,Midfilder,441,0,3650
1598000,24,Bologna,Serie A,CRO,Midfilder,170,1,9400
1596000,34,Villarreal,La Liga,FRA,Midfilder,418,7,3818
1595000,35,Sassuolo,Serie A,ITA,Goalkeeper,552,0,2889
1595000,25,AJ Auxerre,Ligue 1 Uber Eats,ROU,Goalkeeper,81,0,19691
1595000,26,Empoli,Serie A,ROU,Midfilder,252,41,6329
1595000,29,Lazio,Serie A,ESP,Defender,214,0,7453
1595000,24,Salernitana,Serie A,ITA,Midfilder,177,0,9011
1595000,28,Brianza,Serie A,ITA,Goalkeeper,252,2,6329
1595000,23,Lazio,Serie A,ITA,Defender,70,1,22785
1595000,21,Torino,Serie A,ITA,Midfilder,97,0,16443
1595000,31,Atalanta,Serie A,NED,Midfilder,388,27,4110
1595000,24,Juventus,Serie A,ITA,Defender,171,1,9327
1595000,35,Salernitana,Serie A,ARG,Defender,383,10,4164
1595000,24,Lazio,Serie A,ITA,Defender,132,0,12083
1595000,28,Lazio,Serie A,ITA,Goalkeeper,232,0,6875
1595000,21,Juventus,Serie A,ITA,Midfilder,42,0,37976
1595000,26,Bologna,Serie A,ITA,Defender,135,0,11814
1595000,33,Torino,Serie A,ALB,Goalkeeper,279,73,5716
1595000,25,Torino,Serie A,NGA,Defender,165,29,9666
1595000,31,Parthenope,Serie A,BRA,Defender,220,4,7250
1595000,31,Atalanta,Serie A,ITA,Defender,360,8,4430
1595000,32,Empoli,Serie A,ITA,Defender,232,0,6875
1595000,25,Brianza,Serie A,ITA,Midfilder,204,14,7818
1595000,27,Atalanta,Serie A,CRO,Midfilder,258,40,6182
1595000,31,Milan,Serie A,BRA,Forward,214,0,7453
1595000,23,Milan,Serie A,ITA,Midfilder,117,1,13632
1595000,20,Brianza,Serie A,ITA,Midfilder,46,0,34673
1585000,22,FC Porto,Primiera Liga,POR,Goalkeeper,94,5,16861
1583000,27,RC Lens,Ligue 1 Uber Eats,CIV,Midfilder,239,6,6623
1582000,33,OM,Ligue 1 Uber Eats,CHI,Forward,521,152,3036
1582000,22,OM,Ligue 1 Uber Eats,POR,Forward,56,0,28250
1579000,25,Bologna,Serie A,NED,Midfilder,144,1,10965
1574000,30,FC Porto,Primiera Liga,IRN,Forward,248,58,6346
1572000,24,Getafe,La Liga,ESP,Midfilder,120,1,13100
1562000,28,A. Madrid,La Liga,MOZ,Defender,150,35,10413
1560000,31,Nottm Forest,Premier League,ENG,Defender,403,0,3870
1560000,28,Brentford,Premier League,IRN,Forward,263,31,5931
1560000,32,Leicester,Premier League,ENG,Goalkeeper,444,0,3513
1560000,31,Bournemouth,Premier League,ENG,Defender,351,0,4444
1560000,40,Southampton,Premier League,ARG,Goalkeeper,369,5,4227
1560000,20,Crystal Palace,Premier League,FRA,Midfilder,36,0,43333
1560000,21,Wolves,Premier League,IRL,Defender,65,6,24000
1560000,21,Nottm Forest,Premier League,BRA,Midfilder,74,0,21081
1560000,29,Brentford,Premier League,JAM,Defender,360,5,4333
1560000,21,Reims,Ligue 1 Uber Eats,ENG,Forward,25,0,62400
1560000,21,Crystal Palace,Premier League,ENG,Defender,22,0,70909
1560000,19,Tottenham,Premier League,SEN,Midfilder,66,8,23636
1560000,30,Chelsea,Premier League,ENG,Goalkeeper,225,0,6933
1560000,22,OM,Ligue 1 Uber Eats,POR,Defender,72,0,21666
1560000,23,West Ham,Premier League,ENG,Midfilder,144,0,10833
1560000,22,Bournemouth,Premier League,ENG,Midfilder,62,0,25161
1560000,25,Wolves,Premier League,ENG,Defender,122,0,12786
1560000,24,Southampton,Premier League,ENG,Defender,217,0,7188
1560000,25,Fulham,Premier League,USA,Defender,164,28,9512
1560000,22,West Ham,Premier League,ENG,Defender,38,0,41052
1560000,23,Liverpool,Premier League,IRL,Goalkeeper,4,8,390000
1560000,24,Newcastle,Premier League,ENG,Midfilder,143,0,10909
1560000,20,Liverpool,Premier League,ENG,Forward,42,0,37142
1560000,27,Bournemouth,Premier League,ENG,Midfilder,225,0,6933
1560000,28,OGC Nice,Ligue 1 Uber Eats,ENG,Defender,325,0,4800
1560000,29,Newcastle,Premier League,GER,Goalkeeper,206,0,7572
1560000,31,Fulham,Premier League,SCO,Midfilder,375,2,4160
1552000,32,FC Augsburg,Bundesliga,GER,Midfilder,360,1,4311
1552000,26,Eintracht Frankfurt,Bundesliga,FRA,Defender,110,0,14109
1549000,27,Benfica,Primiera Liga,BRA,Defender,124,2,12491
1548000,33,Schalke 04,Bundesliga,GER,Goalkeeper,275,0,5629
1548000,26,Torino,Serie A,SRB,Forward,129,35,12000
1548000,30,Mainz 05,Bundesliga,KOR,Midfilder,262,63,5908
1548000,19,OL,Ligue 1 Uber Eats,FRA,Forward,54,0,28666
1548000,31,1. FC Koln,Bundesliga,GER,Forward,278,1,5568
1548000,34,FC Augsburg,Bundesliga,GER,Defender,435,0,3558
1548000,26,RC Lens,Ligue 1 Uber Eats,FRA,Midfilder,234,0,6615
1546000,26,OGC Nice,Ligue 1 Uber Eats,ALG,Defender,141,20,10964
1546000,24,Troyes,Ligue 1 Uber Eats,FRA,Midfilder,85,0,18188
1546000,27,FC Nantes,Ligue 1 Uber Eats,NGA,Midfilder,256,53,6039
1545000,23,Real San Sebastian,La Liga,ESP,Midfilder,132,1,11704
1543000,23,Milan,Serie A,POR,Forward,138,9,11181
1543000,25,Lazio,Serie A,CRO,Midfilder,204,2,7563
1534000,35,Sevilla,La Liga,BRA,Midfilder,393,0,3903
1525000,35,Sporting CP,Primiera Liga,ESP,Goalkeeper,361,0,4224
1505000,24,Villarreal,La Liga,ARG,Defender,70,15,21500
1505000,20,VfL Wolfsburg,Bundesliga,POL,Midfilder,108,3,13935
1503000,24,Rennes,Ligue 1 Uber Eats,CRO,Midfilder,156,8,9634
1502000,26,Benfica,Primiera Liga,NOR,Midfilder,330,8,4551
1482000,25,Elche,La Liga,ARG,Forward,184,0,8054
1474000,25,Real Hispalis,La Liga,ITA,Defender,125,1,11792
1473000,37,Salernitana,Serie A,MEX,Goalkeeper,595,128,2475
1472000,32,LOSC,Ligue 1 Uber Eats,BRA,Defender,238,0,6184
1462000,28,Mainz 05,Bundesliga,GER,Midfilder,248,0,5895
1457000,28,Real San Sebastian,La Liga,ESP,Defender,229,0,6362
1456000,26,Brentford,Premier League,COD,Midfilder,209,6,6966
1456000,24,Brentford,Premier League,GRN,Midfilder,88,3,16545
1444000,25,Elche,La Liga,ESP,Defender,184,0,7847
1444000,38,LOSC,Ligue 1 Uber Eats,POR,Defender,593,50,2435
1441000,29,Benfica,Primiera Liga,POR,Forward,293,25,4918
1440000,34,Bologna,Serie A,ITA,Defender,405,6,3555
1440000,25,Empoli,Serie A,ALB,Defender,137,27,10510
1440000,29,Lazio,Serie A,MNE,Defender,311,49,4630
1440000,31,Salernitana,Serie A,ITA,Goalkeeper,199,0,7236
1440000,24,Spezia,Serie A,GRE,Defender,104,1,13846
1440000,31,Bologna,Serie A,POL,Goalkeeper,286,7,5034
1440000,30,Atalanta,Serie A,ITA,Defender,280,13,5142
1438000,20,A. Bilbao,La Liga,ESP,Midfilder,68,0,21147
1436000,22,Getafe,La Liga,URU,Defender,52,0,27615
1435000,27,Empoli,Serie A,ITA,Midfilder,142,0,10105
1435000,35,Girona,La Liga,URU,Forward,496,50,2893
1435000,31,Vallecano,La Liga,FRA,Defender,327,0,4388
1423000,22,FC Porto,Primiera Liga,BRA,Forward,71,0,20042
1419000,34,Schalke 04,Bundesliga,JPN,Defender,355,119,3997
1414000,26,Villarreal,La Liga,ESP,Defender,234,0,6042
1412000,26,Benfica,Primiera Liga,ESP,Defender,264,0,5348
1412000,22,Tottenham,Premier League,ESP,Defender,109,1,12954
1410000,24,Mallorca,La Liga,BIH,Defender,100,18,14100
1405000,23,Sassuolo,Serie A,FRA,Forward,99,0,14191
1401000,31,Real Hispalis,La Liga,ESP,Midfilder,381,10,3677
1393000,30,FC Nantes,Ligue 1 Uber Eats,ALG,Forward,357,11,3901
1384000,24,Fiorentina,Serie A,SRB,Forward,175,26,7908
1376000,29,Mainz 05,Bundesliga,SUI,Defender,315,31,4368
1375000,27,AC Ajaccio,Ligue 1 Uber Eats,MLI,Defender,93,17,14784
1370000,24,FC Nantes,Ligue 1 Uber Eats,BRA,Defender,70,0,19571
1356000,24,Sporting CP,Primiera Liga,POR,Midfilder,97,2,13979
1354000,23,Udinese,Serie A,SVN,Defender,146,31,9273
1354000,31,Sassuolo,Serie A,FRA,Forward,321,0,4218
1345000,21,Wolves,Premier League,MLI,Midfilder,35,0,38428
1345000,32,Hoffenheim,Bundesliga,BIH,Defender,224,35,6004
1345000,27,Union Berlin,Bundesliga,CRO,Defender,247,20,5445
1345000,26,Sampdoria,Serie A,ARG,Midfilder,183,0,7349
1345000,27,Cremonese,Serie A,NGA,Forward,205,3,6560
1340000,28,Sevilla,La Liga,ARG,Midfilder,350,10,3828
1340000,30,Montpellier,Ligue 1 Uber Eats,FRA,Midfilder,274,0,4890
1334000,28,SV Werder,Bundesliga,GER,Forward,276,0,4833
1334000,25,FC Porto,Primiera Liga,BRA,Midfilder,125,0,10672
1328000,23,Reims,Ligue 1 Uber Eats,SWE,Defender,85,13,15623
1328000,23,Sassuolo,Serie A,ALB,Midfilder,187,7,7101
1328000,20,Juventus,Serie A,BRA,Forward,53,0,25056
1328000,24,Bournemouth,Premier League,URU,Defender,92,24,14434
1328000,36,Milan,Serie A,ROU,Goalkeeper,362,73,3668
1328000,21,Parthenope,Serie A,GEO,Forward,113,17,11752
1328000,25,Capitoline,Serie A,CRO,Midfilder,152,4,8736
1323000,28,Espanyol,La Liga,ESP,Midfilder,264,1,5011
1310000,24,Bologna,Serie A,COL,Defender,154,7,8506
1305000,24,Schalke 04,Bundesliga,CZE,Midfilder,121,31,10785
1301000,28,Cremonese,Serie A,FRA,Midfilder,243,0,5353
1300000,31,Valencia,La Liga,ESP,Goalkeeper,223,0,5829
1300000,18,Chelsea,Premier League,ENG,Forward,3,0,433333
1300000,33,Elche,La Liga,ARG,Defender,318,32,4088
1300000,20,Man City,Premier League,ENG,Midfilder,7,0,185714
1300000,22,Newcastle,Premier League,ENG,Midfilder,45,0,28888
1300000,22,Bournemouth,Premier League,ZIM,Defender,42,6,30952
1300000,23,Bournemouth,Premier League,ENG,Midfilder,149,0,8724
1300000,24,Brighton,Premier League,ESP,Goalkeeper,114,1,11403
1300000,20,Man UFC,Premier League,URU,Forward,65,6,20000
1300000,30,Bournemouth,Premier League,WAL,Forward,305,26,4262
1300000,25,Nottm Forest,Premier League,ENG,Defender,207,0,6280
1300000,25,Liverpool,Premier League,ENG,Defender,53,0,24528
1300000,24,Nottm Forest,Premier League,ENG,Midfilder,196,0,6632
1300000,26,Valladolid,La Liga,BRA,Defender,146,0,8904
1300000,22,Wolves,Premier League,POR,Forward,44,0,29545
1300000,25,Nottm Forest,Premier League,SCO,Defender,194,26,6701
1300000,30,Leeds,Premier League,ENG,Midfilder,274,0,4744
1300000,30,Girona,La Liga,ARG,Goalkeeper,116,1,11206
1300000,20,Leeds,Premier League,NED,Midfilder,49,0,26530
1300000,32,Bournemouth,Premier League,ENG,Midfilder,314,0,4140
1300000,20,Brighton,Premier League,ECU,Midfilder,52,28,25000
1300000,23,Bournemouth,Premier League,IRL,Goalkeeper,80,3,16250
1300000,26,Bournemouth,Premier League,ENG,Defender,212,0,6132
1300000,21,Leicester,Premier League,ENG,Defender,46,0,28260
1298000,28,Benfica,Primiera Liga,GRE,Goalkeeper,244,27,5319
1298000,29,FC Porto,Primiera Liga,BRA,Defender,237,0,5476
1296000,23,Capitoline,Serie A,NOR,Forward,135,0,9600
1293000,25,Getafe,La Liga,PAR,Defender,124,11,10427
1293000,27,BRG,Primiera Liga,POR,Midfilder,240,9,5387
1293000,25,Hertha Berlin,Bundesliga,GER,Midfilder,165,4,7836
1293000,27,1. FC Koln,Bundesliga,TUN,Midfilder,218,45,5931
1293000,25,Mallorca,La Liga,ESP,Defender,163,0,7932
1292000,28,Sampdoria,Serie A,GER,Defender,161,0,8024
